user_id,signup_date,loyalty_tier
b9efe936-97ba-48e2-89bd-0d228d620cc6,2024-07-07,Bronze
8e81e5a3-46ec-416b-8bc5-522c2a660f28,2020-08-14,Starter
7d8cba58-383d-49a5-8d73-56ed18251ca5,2023-07-16,Starter
0545ffde-d1a6-4032-bf74-f53c079ddb50,2020-12-11,Starter
5116e2fc-5fb7-418b-bc4f-83d31b23049b,2023-07-24,Silver
7493454c-75ea-4bab-9979-79e6ce481eb0,2024-04-19,Bronze
8712f4f9-52a5-412d-89e5-88e30e114bd0,2025-07-14,Gold
c8ebd831-c55b-4423-a4aa-4c497f037c67,2023-01-19,Starter
eee00976-4832-42df-be88-42e69a7ec97b,2025-06-24,Bronze
7624aed8-74b3-4bd7-9dc9-4ce608a44587,2021-11-16,Starter
